"Time, GMT-04:00",Date,Time,Pulaski,Sombrero,Molasses,Fowey
01/01/2010 00:00,1/1/2010,00:00,23.4,24.219,24.146,23.4
01/01/2010 00:15,1/1/2010,00:15,23.424,24.219,24.146,23.352
01/01/2010 00:30,1/1/2010,00:30,23.448,24.219,24.146,23.232
01/01/2010 00:45,1/1/2010,00:45,23.472,24.219,24.146,23.184
01/01/2010 01:00,1/1/2010,01:00,23.448,24.171,24.122,23.112
01/01/2010 01:15,1/1/2010,01:15,23.448,24.098,24.146,22.968
01/01/2010 01:30,1/1/2010,01:30,23.4,24.05,24.146,22.896
01/01/2010 01:45,1/1/2010,01:45,23.352,24.002,24.122,22.872
01/01/2010 02:00,1/1/2010,02:00,23.328,24.002,24.122,22.369
01/01/2010 02:15,1/1/2010,02:15,23.304,23.954,24.122,22.202
01/01/2010 02:30,1/1/2010,02:30,23.304,23.857,24.122,21.724
01/01/2010 02:45,1/1/2010,02:45,23.304,23.809,24.122,21.581
01/01/2010 03:00,1/1/2010,03:00,23.304,23.785,24.122,21.485
01/01/2010 03:15,1/1/2010,03:15,23.304,23.833,24.122,21.342
01/01/2010 03:30,1/1/2010,03:30,23.304,23.833,24.098,21.294
01/01/2010 03:45,1/1/2010,03:45,23.328,23.761,24.05,21.294
01/01/2010 04:00,1/1/2010,04:00,23.328,23.665,24.074,21.437
01/01/2010 04:15,1/1/2010,04:15,23.328,23.617,24.098,21.819
01/01/2010 04:30,1/1/2010,04:30,23.352,23.569,24.098,22.345
01/01/2010 04:45,1/1/2010,04:45,23.352,23.569,24.098,22.489
01/01/2010 05:00,1/1/2010,05:00,23.352,23.569,24.098,22.489
01/01/2010 05:15,1/1/2010,05:15,23.352,23.569,24.074,22.465
01/01/2010 05:30,1/1/2010,05:30,23.352,23.545,24.074,22.513
01/01/2010 05:45,1/1/2010,05:45,23.376,23.545,24.074,22.585
01/01/2010 06:00,1/1/2010,06:00,23.352,23.545,24.074,22.657
01/01/2010 06:15,1/1/2010,06:15,23.352,23.545,24.074,22.705
01/01/2010 06:30,1/1/2010,06:30,23.328,23.472,24.098,22.441
01/01/2010 06:45,1/1/2010,06:45,23.304,23.4,24.098,22.393
01/01/2010 07:00,1/1/2010,07:00,23.256,23.304,24.098,23.521
01/01/2010 07:15,1/1/2010,07:15,23.28,23.136,24.098,23.785
01/01/2010 07:30,1/1/2010,07:30,23.352,23.04,24.098,23.785
01/01/2010 07:45,1/1/2010,07:45,23.304,23.088,24.098,23.785
01/01/2010 08:00,1/1/2010,08:00,23.304,23.328,24.074,23.761
01/01/2010 08:15,1/1/2010,08:15,23.352,23.424,24.074,23.785
01/01/2010 08:30,1/1/2010,08:30,23.352,23.328,24.074,23.833
01/01/2010 08:45,1/1/2010,08:45,23.376,23.376,24.05,23.905
01/01/2010 09:00,1/1/2010,09:00,23.376,23.497,24.05,23.954
01/01/2010 09:15,1/1/2010,09:15,23.376,23.545,24.05,23.978
01/01/2010 09:30,1/1/2010,09:30,23.376,23.545,24.026,24.002
01/01/2010 09:45,1/1/2010,09:45,23.352,23.448,24.026,24.026
01/01/2010 10:00,1/1/2010,10:00,23.352,23.424,24.026,24.05
01/01/2010 10:15,1/1/2010,10:15,23.328,23.424,24.05,24.05
01/01/2010 10:30,1/1/2010,10:30,23.352,23.424,24.098,24.05
01/01/2010 10:45,1/1/2010,10:45,23.352,23.448,24.122,24.074
01/01/2010 11:00,1/1/2010,11:00,23.352,23.448,24.146,24.098
01/01/2010 11:15,1/1/2010,11:15,23.376,23.448,24.171,24.146
01/01/2010 11:30,1/1/2010,11:30,23.4,23.521,24.219,24.146
01/01/2010 11:45,1/1/2010,11:45,23.376,23.665,24.219,24.122
01/01/2010 12:00,1/1/2010,12:00,23.376,23.737,24.171,24.122
01/01/2010 12:15,1/1/2010,12:15,23.424,23.785,24.122,24.146
01/01/2010 12:30,1/1/2010,12:30,23.424,23.785,24.074,24.122
01/01/2010 12:45,1/1/2010,12:45,23.424,23.833,24.026,24.122
01/01/2010 13:00,1/1/2010,13:00,23.424,23.881,23.954,24.074
01/01/2010 13:15,1/1/2010,13:15,23.376,23.881,24.002,24.074
01/01/2010 13:30,1/1/2010,13:30,23.4,23.954,23.978,24.074
01/01/2010 13:45,1/1/2010,13:45,23.424,23.954,24.074,24.074
01/01/2010 14:00,1/1/2010,14:00,23.448,23.978,24.243,23.978
01/01/2010 14:15,1/1/2010,14:15,23.472,23.978,24.363,23.857
01/01/2010 14:30,1/1/2010,14:30,23.472,23.978,24.388,23.809
01/01/2010 14:45,1/1/2010,14:45,23.448,24.002,24.388,23.689
01/01/2010 15:00,1/1/2010,15:00,23.448,24.002,24.388,23.689
01/01/2010 15:15,1/1/2010,15:15,23.448,24.002,24.388,23.641
01/01/2010 15:30,1/1/2010,15:30,23.448,23.978,24.363,23.352
01/01/2010 15:45,1/1/2010,15:45,23.424,23.978,24.339,23.184
01/01/2010 16:00,1/1/2010,16:00,23.424,23.954,24.267,23.112
01/01/2010 16:15,1/1/2010,16:15,23.4,23.954,24.219,23.088
01/01/2010 16:30,1/1/2010,16:30,23.4,23.93,24.098,23.064
01/01/2010 16:45,1/1/2010,16:45,23.4,23.905,24.002,22.872
01/01/2010 17:00,1/1/2010,17:00,23.4,23.905,23.93,22.872
01/01/2010 17:15,1/1/2010,17:15,23.4,23.833,23.978,22.848
01/01/2010 17:30,1/1/2010,17:30,23.4,23.857,24.146,22.824
01/01/2010 17:45,1/1/2010,17:45,23.4,23.809,24.171,22.729
01/01/2010 18:00,1/1/2010,18:00,23.376,23.761,24.195,22.633
01/01/2010 18:15,1/1/2010,18:15,23.376,23.761,24.195,22.513
01/01/2010 18:30,1/1/2010,18:30,23.352,23.665,24.171,22.441
01/01/2010 18:45,1/1/2010,18:45,23.352,23.617,24.171,22.25
01/01/2010 19:00,1/1/2010,19:00,23.352,23.641,24.171,23.064
